id,asset,cost,solution
1,CoalSubC1,24144.263227236286,1.0
2,CoalSubC2,59444.29164197449,1.0
3,CoalSubC3,18088.276411163817,1.0
4,CoalSubC4,8765.244075894361,1.0
5,CoalSuperC1,65146.062556108016,1.0
6,CoalSuperC2,28345.996684718757,1.0
7,CoalSuperC3,13924.349248633775,1.0
8,CoalSuperC4,24864.909372560312,1.0
9,CCGT1,6312.713702396184,1.0
10,CCGT2,773.3074285435325,1.0
11,CCGT3,1698.1199859445733,1.0
12,CCGT4,7496.347521595468,1.0
13,CCGT5,11047.248979193322,1.0
14,CCGT6,986.3615159994037,1.0
15,CCGT7,4086.850850931289,1.0
16,CCGT8,5523.624489596661,1.0
17,OCGT1,5.725484520777934,1.0
18,OCGT2,579.8154132003192,1.0
19,OCGT3,39.1535056843968,1.0
20,OCGT4,2158.0672424470677,1.0
21,OCGT5,1277.223470019693,1.0
22,OCGT6,29.111886678724726,1.0
23,OCGT7,1004.1619005672069,1.0
24,OCGT8,8.808437724273745,1.0
25,Nuclear1,419777.1102974201,1.0
26,Nuclear2,308955.9531789012,1.0
27,Nuclear3,147761.5428246919,1.0
28,Nuclear4,554105.7855925945,1.0
29,OnWind,5459.396297857164,0.0
30,OffWind,12386.865549759983,0.0
31,Solar,2092.0039595150142,0.0
